

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
  205.7200	    14.0300	     8.9169	  3597.9597	    21.8702	  3619.8299	  3033.2800	  3033.2800	  2943.8400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  212.4300	    16.1300	     5.7337	  3076.6683	    -4.1464	  3072.5219	  2900.1800	  2900.1800	  2825.6400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  219.1300	    18.4400	     4.1239	  2674.3044	    -7.5221	  2666.7823	  2788.2900	  2788.2900	  2727.3400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  225.8400	    20.5800	     3.1664	  2359.0231	    -7.1806	  2351.8425	  2691.7600	  2691.7600	  2642.9800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  232.5500	    22.5700	     2.5384	  2105.8432	    -8.0821	  2097.7611	  2607.1700	  2607.1700	  2568.5100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  239.2500	    24.4100	     2.1016	  1899.0725	    -7.9400	  1891.1325	  2533.1300	  2533.1300	  2502.7800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  245.9600	    26.1000	     1.7861	  1729.0666	    -6.2636	  1722.8030	  2468.7000	  2468.7000	  2445.1300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  252.6700	    27.6500	     1.5516	  1589.2676	    -5.8163	  1583.4513	  2412.5000	  2412.5000	  2394.1100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  259.3800	    29.0700	     1.3734	  1474.0010	    -6.4486	  1467.5525	  2363.5100	  2363.5100	  2349.0400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  266.0800	    30.3500	     1.2354	  1377.9901	    -5.5834	  1372.4067	  2321.3700	  2321.3700	  2310.0100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  272.7900	    31.5100	     1.1272	  1298.5547	    -5.3156	  1293.2391	  2284.8000	  2284.8000	  2275.9500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  281.6200	    32.8600	     1.0180	  1213.9189	    -5.1325	  1208.7864	  2244.2900	  2244.2900	  2237.8400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
