

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    32.6600	     2.2864	  1926.1349	   162.1265	  2088.2613	  2594.3600	  2594.3600	  2565.6000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    6.7100	    32.6600	     2.2804	  1902.2818	   209.6015	  2111.8833	  2602.5800	  2602.5800	  2572.8200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   13.4100	    32.6600	     2.2753	  1882.7203	   247.9375	  2130.6578	  2609.3000	  2609.3000	  2578.5200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   20.1200	    32.6600	     2.2713	  1867.5457	   278.3857	  2145.9314	  2614.5400	  2614.5400	  2583.1300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   26.8300	    32.6600	     2.2686	  1858.0028	   295.6146	  2153.6174	  2617.7700	  2617.7700	  2585.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   33.5300	    32.6600	     2.2670	  1851.5136	   309.8720	  2161.3856	  2620.0600	  2620.0600	  2587.7700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   40.2400	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   46.9500	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   53.6500	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   60.3600	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   67.0700	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   73.7800	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   80.4800	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   87.1900	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   93.9000	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  100.6000	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  107.3100	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  114.0200	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  120.7200	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  127.4300	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  134.1400	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  140.8400	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  147.5500	    32.6600	     2.2667	  1849.8625	   313.7800	  2163.6424	  2620.6600	  2620.6600	  2588.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  152.0000	    32.6600	     2.2664	  1849.5410	   312.8629	  2162.4039	  2620.7000	  2620.7000	  2588.0700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  155.3500	    32.5700	     2.2813	  1858.7439	   308.6052	  2167.3491	  2621.9900	  2621.9900	  2589.5500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  158.7000	    32.2800	     2.3216	  1876.2778	   310.5962	  2186.8740	  2628.6000	  2628.6000	  2595.3600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  162.0600	    31.8000	     2.3924	  1909.6602	   308.3669	  2218.0271	  2638.5700	  2638.5700	  2604.5600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  165.4100	    31.1200	     2.4978	  1958.9528	   300.5460	  2259.4987	  2652.5200	  2652.5200	  2616.6500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  168.7600	    30.2300	     2.6457	  2027.9467	   285.8323	  2313.7790	  2670.2600	  2670.2600	  2632.2200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  172.1200	    29.1300	     2.8480	  2113.7442	   274.1471	  2387.8913	  2694.5900	  2694.5900	  2653.0500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  175.4700	    27.7900	     3.1235	  2221.9514	   265.5977	  2487.5491	  2725.4200	  2725.4200	  2680.3100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  178.8200	    26.2100	     3.5018	  2360.4684	   246.1767	  2606.6451	  2762.7000	  2762.7000	  2711.8300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  182.1800	    24.3700	     4.0293	  2535.8752	   224.8917	  2760.7669	  2807.4200	  2807.4200	  2751.0600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  185.5300	    22.4300	     4.7068	  2732.3975	   196.7700	  2929.1675	  2856.2600	  2856.2600	  2792.0800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  188.8800	    20.5000	     5.5397	  2941.3263	   165.4563	  3106.7827	  2905.8200	  2905.8200	  2833.4800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  192.2400	    18.5600	     6.5664	  3163.6929	   140.4280	  3304.1209	  2954.9800	  2954.9800	  2877.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  195.5900	    16.6300	     7.7761	  3379.2662	   106.2335	  3485.4998	  3002.2000	  3002.2000	  2916.1400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  198.9400	    15.1500	     8.7744	  3548.4605	    66.0199	  3614.4804	  3032.3700	  3032.3700	  2942.7500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  202.3000	    14.3100	     9.1764	  3617.8613	    38.5123	  3656.3737	  3042.5200	  3042.5200	  2951.2400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
